_uid,input_color_im,trial_num,color_im,gripper_pose,input_binary_im,human_label,completed,found_grasp,gripper_width,dropped_object,seg_camera_intrinsics,depth_im,seg_binary_im,planning_time,input_depth_im,object_key,seg_color_im,input_pose,lifted_object,seg_depth_im,_default
int,str,int,str,str,str,int,bool,int,float,bool,str,str,str,float,str,str,str,str,bool,str,
0,,0,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_0.png,,,0,False,0,0.0,False,,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_0.npy,,0.0,,bar_clamp,,,False,,
1,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_1.png,0,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_1.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_1.tf,,1,True,1,0.0088,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_1.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_1.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_1.png,2.3560991287,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_1.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_1.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_1.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_1.npy,
2,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_2.png,1,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_2.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_2.tf,,1,True,1,0.0092,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_2.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_2.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_2.png,2.2295119762,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_2.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_2.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_2.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_2.npy,
3,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_3.png,2,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_3.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_3.tf,,1,True,1,0.0076,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_3.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_3.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_3.png,2.2663798332,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_3.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_3.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_3.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_3.npy,
4,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_4.png,3,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_4.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_4.tf,,1,True,1,0.0077,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_4.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_4.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_4.png,2.1626000404,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_4.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_4.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_4.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_4.npy,
5,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_5.png,4,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_5.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_5.tf,,1,True,1,0.005,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_5.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_5.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_5.png,2.424352169,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_5.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_5.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_5.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_5.npy,
6,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_6.png,5,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_6.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_6.tf,,1,True,1,0.0088,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_6.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_6.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_6.png,2.3545269966,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_6.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_6.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_6.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_6.npy,
7,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_7.png,6,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_7.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_7.tf,,1,True,1,0.0074,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_7.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_7.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_7.png,2.1273448467,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_7.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_7.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_7.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_7.npy,
8,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_color_im_8.png,7,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/color_im_8.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/gripper_pose_8.tf,,1,True,1,0.0091,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_camera_intrinsics_8.intr,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/depth_im_8.npy,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_binary_im_8.png,2.2308430672,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_depth_im_8.npy,bar_clamp,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_color_im_8.png,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/input_pose_8.npy,False,data/experiments/grasping_gym/data/gqcnn_2d_gdrnugnpsg/raw/seg_depth_im_8.npy,
